code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
43237-7,Thrombopoietin,MCnc,Pt,PPP,Qn,IA,Thrombopoietin (TPO),Thrombopoietin (TPO)
42618-9,Naloxone,PrThr,Pt,Urine,Ord,Screen,"Naloxone Screen, Total, U","Naloxone Screen, Total, U"
35469-6,Transferrin.carbohydrate deficient.disialo/Transferrin.carbohydrate deficient.tetrasialo,MRto,Pt,Ser/Plas,Qn,,Mono-oligo/Di-oligo Ratio,Mono-oligo/Di-oligo Ratio
74520-8,Complement alternate pathway AH50 actual/normal,RelACnc,Pt,Ser,Qn,IA,"Alternative Complement Path Func, S","Alternative Complement Path Func, S"
21436-1,Ovary Ab,PrThr,Pt,Ser,Ord,IF,Anti-Ovary Antibody,Anti-Ovary Antibody
12914-8,Beta-N-acetylhexosaminidase.A/Beta-N-acetylhexosaminidase.total,CFr,Pt,Ser/Plas,Qn,,"Hexosaminidase Percent A, S","Hexosaminidase Percent A, S"
12183-0,Cholesterol,MCnc,Pt,Body fld,Qn,,"Cholesterol, BF","Cholesterol, BF"
12228-3,Triglyceride,MCnc,Pt,Body fld,Qn,,"Triglycerides, BF","Triglycerides, BF"
92806-9,Keratan sulfate/Creatinine,Ratio,Pt,Urine,Qn,,Keratan Sulfate,Keratan Sulfate
21025-2,Pathologist interpretation,Imp,Pt,Body fld,Nom,,Comment,Comment
2098-2,Cholinesterase,CCnc,Pt,Ser/Plas,Qn,,"Pseudocholinesterase, Total, S","Pseudocholinesterase, Total, S"
63416-2,Pompe disease newborn screening comment-discussion,Txt,Pt,Bld.dot,Nar,,Interpretation,Interpretation
25801-2,Trichophyton mentagrophytes var interdigitale Ab.IgE,ACnc,Pt,Ser,Qn,,Trichophyton ment var interdig IgE,Trichophyton ment var interdig IgE
54390-0,Fibroblast growth factor 23.intact,MCnc,Pt,Ser/Plas,Qn,,Intact Fibroblast Growth Factor 23,Intact Fibroblast Growth Factor 23
24475-6,F2 gene.c.20210G>A,Geno,Pt,Bld/Tiss,Nom,Molgen,"Prothrombin G20210A Mutation, B","Prothrombin G20210A Mutation, B"
33623-0,Pentacarboxylporphyrin I,MRat,24H,Stool,Qn,,Pentacarboxyl  I,Pentacarboxyl  I
46718-3,Aquaporin 4 water channel Ab.IgG,PrThr,Pt,CSF,Ord,,"NMO/AQP4-IgG FACS, CSF","NMO/AQP4-IgG FACS, CSF"
43638-6,Aquaporin 4 water channel Ab.IgG,PrThr,Pt,Ser/Plas,Ord,,"NMO/AQP4 FACS, S","NMO/AQP4 FACS, S"
85363-0,21-Hydroxylase Ab,PrThr,Pt,Ser,Ord,,"21-Hydroxylase Ab, S","21-Hydroxylase Ab, S"
76691-5,Gender identity,Type,Pt,^Patient,Nom,Reported,Gender,Gender
93779-7,Large B-cell lymphoma and cell of origin,Type,Pt,Tiss,Nom,,"Lymph3Cx, Large B-cell Lymphoma, mRNA, Tissue","Lymph3Cx, Large B-cell Lymphoma, mRNA, Tissue"
93783-9,Diffuse large B-cell lymphoma cell of origin,Type,Pt,Tiss,Nom,,DLBCL  COO,DLBCL  COO
93781-3,Diffuse large B-cell lymphoma.activated B-cell subtype,Likelihood,Pt,Tiss,Qn,,DLBCL Probability,DLBCL Probability
93780-5,Primary mediastinal large B-cell lymphoma,Likelihood,Pt,Tiss,Qn,,PMBCL Probability,PMBCL Probability
93782-1,Large B-cell lymphoma,Type,Pt,Tiss,Nom,,PMBCL Call,PMBCL Call
93977-7,Complement C2.functional,ACnc,Pt,Ser/Plas,Qn,,"C2 Complement,Functional,S","C2 Complement,Functional,S"
93978-5,Complement C4.functional,ACnc,Pt,Ser/Plas,Qn,,"C4 Complement, Functional, S","C4 Complement, Functional, S"
47549-1,Adenosine deaminase,CCnt,Pt,RBC,Qn,,Adenosine Deaminase RBC,Adenosine Deaminase RBC
