code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
17576-0,Shigella sp,Prid,Pt,XXX,Nom,Organism specific culture,"Shigella Culture, Feces","Shigella Culture, Feces"
6246-3,Pandalus borealis Ab.IgE,ACnc,Pt,Ser,Qn,,"Shrimp, IgE, Serum","Shrimp, IgE, Serum"
10715-1,Schistosoma sp,Prid,Pt,Urine sed,Nom,Microscopy.light,"Schistosoma Exam, Random, Urine","Schistosoma Exam, Random, Urine"
6245-5,Sheep wool Ab.IgE,ACnc,Pt,Ser,Qn,,"Sheep Wool, IgE, Serum","Sheep Wool, IgE, Serum"
29247-4,Sirolimus,MCnc,Pt,Bld,Qn,,"Sirolimus, Whole Blood","Sirolimus, Whole Blood"
76039-7,Interleukin 2 receptor.soluble,MCnc,Pt,Ser/Plas,Qn,,"Interleukin-2 Receptor Alpha Soluble, Plasma","Interleukin-2 Receptor Alpha Soluble, Plasma"
50557-8,Ketones,MCnc,Pt,Urine,SemiQn,Test strip.automated,"Ketones, Urine","Ketones, Urine"
93412-5,SLCO1B1 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Solute Carrier Organic Anion Transporter Family Member 1B1 (SLCO1B1) Genotype, Statin, Varies","Solute Carrier Organic Anion Transporter Family Member 1B1 (SLCO1B1) Genotype, Statin, Varies"
7947-5,Legionella pneumophila Ab,PrThr,Pt,Ser,Ord,,"Legionella pneumophila (Legionnaires Disease), Antibody, Serum","Legionella pneumophila (Legionnaires Disease), Antibody, Serum"
29903-2,Cryptococcus sp Ag,PrThr,Pt,Ser,Ord,IA,"Cryptococcus Antigen Screen with Titer, Serum","Cryptococcus Antigen Screen with Titer, Serum"
9818-6,Cryptococcus sp Ag,Titr,Pt,Ser,SemiQn,IA,"Cryptococcus Antigen Titer, Lateral Flow Assay, Serum","Cryptococcus Antigen Titer, Lateral Flow Assay, Serum"
103621-9,Small lymphocytic lymphoma chromosome deletions &or rearrangements,Find,Pt,Bld/Tiss,Doc,FISH,"Small Lymphocytic Lymphoma, FISH, Tissue","Small Lymphocytic Lymphoma, FISH, Tissue"
73852-6,7-Dehydrocholesterol & 8-Dehydrocholesterol panel,-,Pt,Ser/Plas,-,,"Smith-Lemli-Opitz Screen, Plasma","Smith-Lemli-Opitz Screen, Plasma"
83081-0,Borrelia burgdorferi Ab.IgG+IgM,PrThr,Pt,Ser,Ord,IA,"Lyme Antibody Modified 2-Tier with Reflex, Serum","Lyme Antibody Modified 2-Tier with Reflex, Serum"
18323-6,Smith extractable nuclear Ab.IgG,ACnc,Pt,Ser,Qn,,"Smith (Sm) Antibodies, IgG, Serum","Smith (Sm) Antibodies, IgG, Serum"
26971-2,Smooth muscle Ab,PrThr,Pt,Ser,Ord,IF,"Smooth Muscle Antibody Screen, Serum","Smooth Muscle Antibody Screen, Serum"
5358-7,Smooth muscle Ab,Titr,Pt,Ser,SemiQn,IF,"Smooth Muscle Antibody Titer, Serum","Smooth Muscle Antibody Titer, Serum"
102119-5,Skeletal muscle channelopathy multigene panel,-,Pt,Bld/Tiss,-,Molgen,"Inherited Skeletal Muscle Channelopathy Gene Panel, Varies","Inherited Skeletal Muscle Channelopathy Gene Panel, Varies"
6240-6,Seminal fluid Ab.IgE,ACnc,Pt,Ser,Qn,,"Seminal Fluid, IgE, Serum","Seminal Fluid, IgE, Serum"
94221-9,SMN1 gene full mutation analysis,Find,Pt,Bld/Tiss,Doc,Sequencing,"SMN1 Gene, Full Gene Analysis, Varies","SMN1 Gene, Full Gene Analysis, Varies"
49857-6,SMN1 gene+SMN2 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Spinal Muscular Atrophy Carrier Screening, Deletion/Duplication Analysis, Varies","Spinal Muscular Atrophy Carrier Screening, Deletion/Duplication Analysis, Varies"
11200-3,Helix aspersa Ab.IgE,ACnc,Pt,Ser,Qn,,"Snail, IgE, Serum","Snail, IgE, Serum"
54089-8,Newborn screening panel,-,Pt,^Patient,-,AHIC,"Supplemental Newborn Screen, Blood Spot","Supplemental Newborn Screen, Blood Spot"
