code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
69049-5,Coagulation specialist review,Imp,Pt,XXX,Nar,,"Factor X Inhibitor Profile, Professional Interpretation","Factor X Inhibitor Profile, Professional Interpretation"
96457-7,Coagulation factor X activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor X Inhibitor Evaluation, Plasma","Factor X Inhibitor Evaluation, Plasma"
39556-6,Coagulation factor X inhibitor,PrThr,Pt,PPP,Ord,Coag,"Factor X Inhibitor Screen, Plasma","Factor X Inhibitor Screen, Plasma"
96453-6,Coagulation factor XI activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor XI Inhibitor Evaluation, Plasma","Factor XI Inhibitor Evaluation, Plasma"
80603-4,Coagulation factor XI inhibitor,PrThr,Pt,PPP,Ord,Coag,"Factor XI Inhibitor Screen, Plasma","Factor XI Inhibitor Screen, Plasma"
26801-1,Protein,MRat,12H,Urine,Qn,,"Protein, Total, 12 Hour, Urine","Protein, Total, 12 Hour, Urine"
6765-2,17-Hydroxypregnenolone,MCnc,Pt,Ser/Plas,Qn,,"17-Hydroxypregnenolone, Serum","17-Hydroxypregnenolone, Serum"
97750-4,Cancer Ag 19-9,ACnc,Pt,Asp,Qn,,"Carbohydrate Antigen 19-9 (CA 19-9), Pancreatic Cyst Fluid","Carbohydrate Antigen 19-9 (CA 19-9), Pancreatic Cyst Fluid"
50781-4,Cancer Ag 19-9,ACnc,Pt,Periton fld,Qn,,"Carbohydrate Antigen 19-9 (CA 19-9), Peritoneal Fluid","Carbohydrate Antigen 19-9 (CA 19-9), Peritoneal Fluid"
80687-7,CYP1A2 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Cytochrome P450 1A2 Genotype, Varies","Cytochrome P450 1A2 Genotype, Varies"
96629-1,HLA-A & B & C (class I) typing panel,-,Pt,Bld/Tiss,-,Low resolution,"Human Leukocyte Antigens (HLA) A-B-C Disease Association Typing Low Resolution, Blood","Human Leukocyte Antigens (HLA) A-B-C Disease Association Typing Low Resolution, Blood"
74872-3,21-Deoxycortisol,MCnc,Pt,Ser/Plas,Qn,,"21-Deoxycortisol, Serum","21-Deoxycortisol, Serum"
85363-0,21-Hydroxylase Ab,PrThr,Pt,Ser,Ord,,"21-Hydroxylase Antibodies, Serum","21-Hydroxylase Antibodies, Serum"
85147-7,Programmed cell death ligand 1 by clone 22C3,Find,Pt,Tiss,Doc,Immune stain,"Programmed Death-Ligand 1 (PD-L1) (22C3), Semi-Quantitative Immunohistochemistry, Manual","Programmed Death-Ligand 1 (PD-L1) (22C3), Semi-Quantitative Immunohistochemistry, Manual"
97658-9,"2,3-dinor 11 beta-Prostaglandin F2 alpha/Creatinine",MRto,Pt,Urine,Qn,,"2,3-Dinor 11 Beta-Prostaglandin F2 Alpha, Random, Urine","2,3-Dinor 11 Beta-Prostaglandin F2 Alpha, Random, Urine"
94381-1,"2,3-dinor 11 beta-Prostaglandin F2 alpha/Creatinine",MRto,24H,Urine,Qn,,"2,3-Dinor 11 Beta-Prostaglandin F2 Alpha, 24 Hour, Urine","2,3-Dinor 11 Beta-Prostaglandin F2 Alpha, 24 Hour, Urine"
104259-7,Fibroblast growth factor 23,PrThr,Pt,Tiss,Ord,FISH,"Fibroblast Growth Factor-23 (FGF23), In Situ Hybridization","Fibroblast Growth Factor-23 (FGF23), In Situ Hybridization"
94674-9,Calcidiol+ercalcidiol/24r-Hydroxycalcidiol+24r-Hydroxyercalcidiol ratio panel,-,Pt,Ser/Plas,-,,"25-Hydroxyvitamin D:24,25-Dihydroxyvitamin D Ratio, Serum","25-Hydroxyvitamin D:24,25-Dihydroxyvitamin D Ratio, Serum"
49590-3,Calcidiol & Calciferol panel,-,Pt,Ser/Plas,-,,"25-Hydroxyvitamin D2 and D3, Serum","25-Hydroxyvitamin D2 and D3, Serum"
85148-5,Programmed cell death ligand 1 by clone 28-8,Find,Pt,Tiss,Doc,Immune stain,"Programmed Death-Ligand 1 (PD-L1) (28-8), Semi-Quantitative Immunohistochemistry, Manual","Programmed Death-Ligand 1 (PD-L1) (28-8), Semi-Quantitative Immunohistochemistry, Manual"
72511-9,CYP2B6 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Cytochrome P450 2B6 Genotype, Varies","Cytochrome P450 2B6 Genotype, Varies"
57132-3,CYP2C19 gene allele,Geno,Pt,Bld/Tiss,Nom,Molgen,"Cytochrome P450 2C19 Genotype, Varies","Cytochrome P450 2C19 Genotype, Varies"
46724-1,CYP2C9 gene allele,Geno,Pt,Bld/Tiss,Nom,Molgen,"Cytochrome P450 2C9 Genotype, Varies","Cytochrome P450 2C9 Genotype, Varies"
47403-1,CYP2D6 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Cytochrome P450 2D6 Comprehensive Cascade, Varies","Cytochrome P450 2D6 Comprehensive Cascade, Varies"
96640-8,HLA-DP & DQ & DR (class II) typing panel,-,Pt,Bld/Tiss,-,Low resolution,"Human Leukocyte Antigens (HLA)-DR-DQ Disease Association Typing Low Resolution, Blood","Human Leukocyte Antigens (HLA)-DR-DQ Disease Association Typing Low Resolution, Blood"
79297-8,D- & L-2-hydroxyglutarate panel,-,Pt,Urine,-,,"2-Hydroxyglutaric Acid Chiral Analysis, Quantitative, Random, Urine","2-Hydroxyglutaric Acid Chiral Analysis, Quantitative, Random, Urine"
96455-1,Coagulation factor II activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor II Inhibitor Evaluation, Plasma","Factor II Inhibitor Evaluation, Plasma"
105341-2,2-Hydroxyglutarate aciduria multigene analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"2-Hydroxyglutaric Aciduria Gene Panel, Varies","2-Hydroxyglutaric Aciduria Gene Panel, Varies"
74007-6,CYP3A4 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Cytochrome P450 3A4 Genotype, Varies","Cytochrome P450 3A4 Genotype, Varies"
81140-6,CYP3A5 gene allele,Geno,Pt,Bld/Tiss,Nom,Molgen,"Cytochrome P450 3A5 Genotype, Varies","Cytochrome P450 3A5 Genotype, Varies"
105342-0,3-Methylglutaconate aciduria multigene analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"3-Methylglutaconic Aciduria Panel, Varies","3-Methylglutaconic Aciduria Panel, Varies"
32618-1,3-Methoxytyramine,MRat,24H,Urine,Qn,,"3-Methoxytyramine, 24 Hour, Urine","3-Methoxytyramine, 24 Hour, Urine"
3191-4,Coagulation factor V inhibitor,ACnc,Pt,PPP,Qn,Coag,"Factor V Bethesda Units, Plasma","Factor V Bethesda Units, Plasma"
96458-5,Coagulation factor V activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor V Inhibitor Evaluation, Plasma","Factor V Inhibitor Evaluation, Plasma"
1690-7,5'-Nucleotidase,CCnc,Pt,Ser/Plas,Qn,,"5'-Nucleotidase, Serum","5'-Nucleotidase, Serum"
29345-6,6-Monoacetylmorphine,MCnt,Pt,Meconium,Qn,,"6-Monoacetylmorphine (6-MAM), Confirmation, Meconium","6-Monoacetylmorphine (6-MAM), Confirmation, Meconium"
19593-3,6-Monoacetylmorphine,MCnc,Pt,Urine,Qn,Confirm,"6-Monoacetylmorphine Confirmation, Random, Urine","6-Monoacetylmorphine Confirmation, Random, Urine"
94866-1,7-Alpha hydroxy-4-cholesten-3-one,MCnc,Pt,Ser/Plas,Qn,,"7AC4, Bile Acid Synthesis, Serum","7AC4, Bile Acid Synthesis, Serum"
90225-4,Coagulation factor VII activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor VII Inhibitor Evaluation, Plasma","Factor VII Inhibitor Evaluation, Plasma"
96456-9,Coagulation factor VIII activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor VIII Inhibitor Evaluation, Plasma","Factor VIII Inhibitor Evaluation, Plasma"
96459-3,Coagulation factor IX activity & inhibitor panel,-,Pt,PPP,-,Coag,"Factor IX Inhibitor Evaluation, Plasma","Factor IX Inhibitor Evaluation, Plasma"
99075-4,Alpha-1-Microglobulin/Creatinine,MRto,24H,Urine,Qn,,"Alpha-1-Microglobulin, 24 Hour, Urine","Alpha-1-Microglobulin, 24 Hour, Urine"
9407-8,Alpha 1 antitrypsin,MCnc,Pt,Stool,Qn,,"Alpha-1-Antitrypsin, Random, Feces","Alpha-1-Antitrypsin, Random, Feces"
93419-0,Alpha 1 antitrypsin fecal clearance panel,-,Pt,Ser,,,"Alpha-1-Antitrypsin Clearance, Feces and Serum","Alpha-1-Antitrypsin Clearance, Feces and Serum"
102082-5,Alpha-1-Antitrypsin Proteotype panel,-,Pt,Ser/Plas,-,,"Alpha-1-Antitrypsin Proteotype S/Z, LC-MS/MS, Serum","Alpha-1-Antitrypsin Proteotype S/Z, LC-MS/MS, Serum"
32769-2,Alpha 1 antitrypsin phenotype,Imp,Pt,Ser/Plas,Nom,,"Alpha-1-Antitrypsin Phenotype, Serum","Alpha-1-Antitrypsin Phenotype, Serum"
55399-0,Diabetes tracking panel,-,Pt,^Patient,-,,"Hemoglobin A1c, Blood","Hemoglobin A1c, Blood"
844-1,A1 Ag,PrThr,Pt,RBC,Ord,,"A1 Antigen Subtype, Blood","A1 Antigen Subtype, Blood"
1835-8,Alpha-2-Macroglobulin,MCnc,Pt,Ser/Plas,Qn,,"Alpha-2-Macroglobulin, Serum","Alpha-2-Macroglobulin, Serum"
27810-1,Plasmin inhibitor actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo,"Alpha-2 Plasmin Inhibitor, Plasma","Alpha-2 Plasmin Inhibitor, Plasma"
35507-3,Amino acids panel,SCnc,Pt,CSF,Qn,,"Amino Acids, Quantitative, Spinal Fluid","Amino Acids, Quantitative, Spinal Fluid"
104695-2,Aminoacylase-1 deficiency panel,-,Pt,Urine,-,,"Aminoacylase-1 Deficiency, Urine","Aminoacylase-1 Deficiency, Urine"
Order only;no result,,,,,,,"Amyloid A (Hepatic) Immunostain, Technical Component Only","Amyloid A (Hepatic) Immunostain, Technical Component Only"
94566-7,Maple syrup urine disease therapy monitoring panel,-,Pt,Ser/Plas,Qn,,"Amino Acids, Maple Syrup Urine Disease Panel, Plasma","Amino Acids, Maple Syrup Urine Disease Panel, Plasma"
7073-0,Amylase Ab.IgE,ACnc,Pt,Ser,Qn,,"Alpha-Amylase, IgE, Serum","Alpha-Amylase, IgE, Serum"
35087-6,Amino acids panel,-,Pt,Urine,Qn,,"Amino Acids, Quantitative, Random, Urine","Amino Acids, Quantitative, Random, Urine"
35083-5,Amino acids panel,SCnc,Pt,Ser/Plas,Qn,,"Amino Acids, Quantitative, Plasma","Amino Acids, Quantitative, Plasma"
6771-0,Alpha 1 antitrypsin,MCnc,Pt,Ser/Plas,Qn,Nephelometry,"Alpha-1-Antitrypsin, Serum","Alpha-1-Antitrypsin, Serum"
98125-8,Intravascular coagulation and fibrinolysis panel,-,Pt,^Patient,-,,"Thrombophilia Profile, Plasma and Whole Blood","Thrombophilia Profile, Plasma and Whole Blood"
27811-9,Antithrombin actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo,"Antithrombin Activity, with Reflex to Antithrombin Antigen, Plasma","Antithrombin Activity, with Reflex to Antithrombin Antigen, Plasma"
100368-0,Amino Acids Urea Cycle Panel,-,Pt,Ser/Plas,-,LC/MS/MS,"Amino Acids, Urea Cycle Disorders Panel, Plasma","Amino Acids, Urea Cycle Disorders Panel, Plasma"
44447-1,Beta 2 glycoprotein 1 Ab.IgA,ACnc,Pt,Ser/Plas,Qn,IA,"Beta-2 Glycoprotein 1 Antibodies, IgA, Serum","Beta-2 Glycoprotein 1 Antibodies, IgA, Serum"
95782-9,ABCD1 gene full mutation analysis,Find,Pt,Bld/Tiss,Doc,Sequencing,"X-Linked Adrenoleukodystrophy (XALD), ABCD1 Gene Sequencing with Deletion/Duplication, Varies","X-Linked Adrenoleukodystrophy (XALD), ABCD1 Gene Sequencing with Deletion/Duplication, Varies"
888-8,Blood group antibodies,Prid,Pt,Ser/Plas,Nom,,"Antibody Identification, Blood and Serum","Antibody Identification, Blood and Serum"
882-1,ABO & Rh group,Type,Pt,Bld,Nom,,"ABO/Rh, Blood","ABO/Rh, Blood"
19057-9,ABO & Rh group,Type,Pt,Bld^Newborn,Nom,,"ABO/Rh Newborn, Blood","ABO/Rh Newborn, Blood"
49094-6,Arbovirus Ab.IgG & IgM panel,-,Pt,CSF,-,IF,"Arbovirus Antibody Panel, IgG and IgM, Spinal Fluid","Arbovirus Antibody Panel, IgG and IgM, Spinal Fluid"
50962-0,XXX blood group Ab.IgG,Titr,Pt,Ser/Plas,SemiQn,,"Antibody Titer, Blood and Serum","Antibody Titer, Blood and Serum"
101678-1,Blood group antibody,PrThr,Pt,Bld^Newborn,Ord,Blood group antibody screen,"Antibody Screen with Reflexed Antibody Identification, Blood","Antibody Screen with Reflexed Antibody Identification, Blood"
44702-9,Complement C1q Ab,ACnc,Pt,Ser,Qn,,"Anti-C1q Antibodies, IgG, Serum","Anti-C1q Antibodies, IgG, Serum"
6015-2,Acacia longifolia Ab.IgE,ACnc,Pt,Ser,Qn,,"Acacia, IgE, Serum","Acacia, IgE, Serum"
95773-8,ACADM gene full mutation analysis,Find,Pt,Bld/Tiss,Doc,Sequencing,"Medium-Chain Acyl-CoA Dehydrogenase Deficiency (MCAD), ACADM Gene Sequencing with Deletion/Duplication, Varies","Medium-Chain Acyl-CoA Dehydrogenase Deficiency (MCAD), ACADM Gene Sequencing with Deletion/Duplicati"
73735-3,ACADVL gene full mutation analysis,Prid,Pt,Bld/Tiss,Nom,Sequencing,"Very Long-Chain Acyl-CoA Dehydrogenase (VLCAD) Deficiency, ACADVL Gene Sequencing with Deletion/Duplication, Varies","Very Long-Chain Acyl-CoA Dehydrogenase (VLCAD) Deficiency, ACADVL Gene Sequencing with Deletion/Dupl"
6254-7,Acarus siro Ab.IgE,ACnc,Pt,Ser,Qn,,"Acarus siro, IgE, Serum","Acarus siro, IgE, Serum"
41429-2,Acanthamoeba sp DNA,PrThr,Pt,XXX,Ord,Probe.amp.tar,"Acanthamoeba species, Molecular Detection, PCR, Ocular","Acanthamoeba species, Molecular Detection, PCR, Ocular"
2132-9,Cobalamins,MCnc,Pt,Ser/Plas,Qn,,"Pernicious Anemia Cascade, Serum","Pernicious Anemia Cascade, Serum"
95556-7,Adrenal cancer risk assessment & urine steroid fractions panel,-,-,^Patient,-,,"Adrenal Mass Panel, 24 Hour, Urine","Adrenal Mass Panel, 24 Hour, Urine"
2742-5,Angiotensin converting enzyme,CCnc,Pt,Ser/Plas,Qn,,"Angiotensin Converting Enzyme, Serum","Angiotensin Converting Enzyme, Serum"
30106-9,Acetylcholinesterase,PrThr,Pt,Amnio fld,Ord,,"Acetylcholinesterase, Amniotic Fluid","Acetylcholinesterase, Amniotic Fluid"
5076-5,Cardiolipin Ab.IgA,ACnc,Pt,Ser,Qn,IA,"Phospholipid (Cardiolipin) Antibodies, IgA, Serum","Phospholipid (Cardiolipin) Antibodies, IgA, Serum"
3298-7,Acetaminophen,MCnc,Pt,Ser/Plas,Qn,,"Acetaminophen, Serum","Acetaminophen, Serum"
99062-2,Acetylcholine receptor modulation Ab,PrThr,Pt,Ser,Ord,Flow cytometry,"Acetylcholine Receptor Modulating Antibody, Flow Cytometry Assay, Serum","Acetylcholine Receptor Modulating Antibody, Flow Cytometry Assay, Serum"
43433-2,Acylcarnitine panel,-,Pt,Ser/Plas,-,,"Acylcarnitines, Quantitative, Plasma","Acylcarnitines, Quantitative, Plasma"
9816-0,Actinomyces sp,Prid,Pt,XXX,Nom,Organism specific culture,"Actinomyces Culture, Varies","Actinomyces Culture, Varies"
2141-0,Corticotropin,MCnc,Pt,Plas,Qn,,"Adrenocorticotropic Hormone, Plasma","Adrenocorticotropic Hormone, Plasma"
Not Provided,,,,,,,"PrecivityAD2, Reflex to Apolipoprotein E, Plasma","PrecivityAD2, Reflex to Apolipoprotein E, Plasma"
99781-7,Adalimumab & Adalimumab Ab panel,-,Pt,Ser/Plas,-,IA,"Adalimumab Quantitative with Antibody, Serum","Adalimumab Quantitative with Antibody, Serum"
86894-3,Adalimumab,MCnc,Pt,Ser/Plas,Qn,IA,"Adalimumab Quantitative with Reflex to Antibody, Serum","Adalimumab Quantitative with Reflex to Antibody, Serum"
53622-7,von Willebrand factor cleaving protease actual/normal,RelCCnc,Pt,PPP,Qn,Chromo,"ADAMTS13 Activity with Reflex Inhibitor Profile, Plasma","ADAMTS13 Activity with Reflex Inhibitor Profile, Plasma"
104134-2,Dementia evaluation panel,-,Pt,CSF,-,,"Alzheimer Disease Evaluation, Spinal Fluid","Alzheimer Disease Evaluation, Spinal Fluid"
58715-4,Adulterants panel,-,Pt,Urine,-,,"Adulterants Survey, Chain of Custody, Random, Urine","Adulterants Survey, Chain of Custody, Random, Urine"
80981-4,"N,N-dimethylarginine",MCnc,Pt,Ser/Plas,Qn,,"Asymmetric Dimethylarginine, Plasma","Asymmetric Dimethylarginine, Plasma"
40824-5,von Willebrand factor cleaving protease inhibitor,ACnc,Pt,PPP,Qn,,"ADAMTS 13 Antibody, Plasma","ADAMTS 13 Antibody, Plasma"
12286-1,Drugs,Prid,Pt,Urine,Nom,Screen,"Addiction Medicine Profile with Reflex, 22 Drug Classes, High Resolution Mass Spectrometry and Immunoassay Screen, Random, Urine","Addiction Medicine Profile with Reflex, 22 Drug Classes, High Resolution Mass Spectrometry and Immun"
33799-8,DNA double strand Ab.IgG,ACnc,Pt,Ser/Plas,Qn,IA,"Double-Stranded DNA (dsDNA) Antibodies, IgG, Serum","Double-Stranded DNA (dsDNA) Antibodies, IgG, Serum"
5133-4,DNAse B Ab.Streptococcal,ACnc,Pt,Ser,Qn,,"Anti-DNase B Titer, Serum","Anti-DNase B Titer, Serum"
51966-0,Genetic disease DNA analysis panel,-,Pt,Bld/Tiss,-,Molgen,"Focused Autosomal Dominant Polycystic Kidney Disease Gene Panel, Varies","Focused Autosomal Dominant Polycystic Kidney Disease Gene Panel, Varies"
58714-7,Oxidants,PrThr,Pt,Urine,Ord,,"Adulterants Survey, Random, Urine","Adulterants Survey, Random, Urine"
106727-1,Adenovirus DNA,ACnc,Pt,Ser/Plas,Qn,Probe.amp.tar,"Adenovirus DNA Detection and Quantification, Plasma","Adenovirus DNA Detection and Quantification, Plasma"
105329-7,Hereditary angioedema multigene analysis,Find,Pt,Bld,Doc,Molgen,"Angioedema and Complement Disorders Gene Panel, Varies","Angioedema and Complement Disorders Gene Panel, Varies"
30122-6,Aeromonas sp,PrThr,Pt,XXX,Ord,Organism specific culture,"Aeromonas Culture, Feces","Aeromonas Culture, Feces"
101863-9,Complement factor H Ab,ACnc,Pt,Ser/Plas,Qn,IA,"Factor H Autoantibody, Serum","Factor H Autoantibody, Serum"
105010-3,Folate receptor alpha Ag,Imp,Pt,Tiss,Nar,Immune stain,"Folate Receptor Alpha (FOLR1), Semi-Quantitative Immunohistochemistry, Manual","Folate Receptor Alpha (FOLR1), Semi-Quantitative Immunohistochemistry, Manual"
53962-7,Alpha-1-Fetoprotein.tumor marker,MCnc,Pt,Ser/Plas,Qn,,"Alpha-Fetoprotein (AFP) Tumor Marker, Serum","Alpha-Fetoprotein (AFP) Tumor Marker, Serum"
58735-2,Alpha-1-fetoprotein panel,-,Pt,Amnio fld,-,,"Alpha-Fetoprotein, Amniotic Fluid","Alpha-Fetoprotein, Amniotic Fluid"
49761-0,Alpha-1-Fetoprotein,MCnc,Pt,Periton fld,Qn,,"Alpha-Fetoprotein (AFP), Peritoneal Fluid","Alpha-Fetoprotein (AFP), Peritoneal Fluid"
1833-3,Alpha-1-Fetoprotein,MCnc,Pt,CSF,Qn,,"Alpha-Fetoprotein (AFP), Spinal Fluid","Alpha-Fetoprotein (AFP), Spinal Fluid"
21762-0,FXN gene.GAA repeats,PrThr,Pt,Bld/Tiss,Ord,Molgen,"Friedreich Ataxia, Repeat Expansion Analysis, Varies","Friedreich Ataxia, Repeat Expansion Analysis, Varies"
1813-5,Alpha galactosidase A,CCnc,Pt,Ser/Plas,Qn,,"Alpha-Galactosidase, Serum","Alpha-Galactosidase, Serum"
24049-9,Alpha galactosidase A,CCnt,Pt,WBC,Qn,,"Alpha-Galactosidase, Leukocytes","Alpha-Galactosidase, Leukocytes"
90040-7,Alpha globin gene cluster & HS-40 region deletion+duplication,Find,Pt,Bld/Tiss,Doc,Molgen,"Alpha Globin Cluster Locus Deletion/Duplication, Varies","Alpha Globin Cluster Locus Deletion/Duplication, Varies"
93455-5,Glial nuclear type 1 Ab.IgG,Titr,Pt,CSF,Qn,IF,"Anti-Glial/Neuronal Nuclear Antibody-Type 1 (AGNA-1) Titer, Spinal Fluid","Anti-Glial/Neuronal Nuclear Antibody-Type 1 (AGNA-1) Titer, Spinal Fluid"
94341-5,Glial nuclear type 1 Ab.IgG,Titr,Pt,Ser,SemiQn,IF,"Anti-Glial/Neuronal Nuclear Antibody-Type 1 (AGNA-1) Titer, Serum","Anti-Glial/Neuronal Nuclear Antibody-Type 1 (AGNA-1) Titer, Serum"
50334-2,Acylglycines panel,MRto,Pt,Urine,-,,"Acylglycines, Quantitative, Random, Urine","Acylglycines, Quantitative, Random, Urine"
74520-8,Complement alternate pathway AH50 actual/normal,RelACnc,Pt,Ser,Qn,IA,"Alternative Complement Pathway, Functional, Serum","Alternative Complement Pathway, Functional, Serum"
40727-0,Hepatitis D virus Ab,PrThr,Pt,Ser,Ord,IA,"Hepatitis D Virus (HDV) Total Antibodies with Reflex to HDV RNA Detection and Quantitation, PCR, Serum","Hepatitis D Virus (HDV) Total Antibodies with Reflex to HDV RNA Detection and Quantitation, PCR, Ser"
24363-4,Acute hepatitis 2000 panel,-,Pt,Ser,-,,"Acute Viral Hepatitis Profile, Serum","Acute Viral Hepatitis Profile, Serum"
99972-2,Hearing loss multigene analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"AudioloGene Hearing Loss Panel, Varies","AudioloGene Hearing Loss Panel, Varies"
107229-7,Anti-hypertensive drug panel,-,Pt,Urine,-,,"Antihypertension Panel, Random, Urine","Antihypertension Panel, Random, Urine"
77376-2,Human papilloma virus 16 & 18 & 31+33+35+39+45+51+52+56+58+59+66+68 DNA panel,-,Pt,Anorectal,-,,"Anal Pap Human Papillomavirus (HPV) with Genotyping, High-Risk Types, PCR, Varies","Anal Pap Human Papillomavirus (HPV) with Genotyping, High-Risk Types, PCR, Varies"
99967-2,Atypical hemolytic uremic syndrome multigene analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Atypical Hemolytic Uremic Syndrome (aHUS)/Thrombotic Microangiopathy (TMA) /Complement 3 Glomerulopathy (C3G) Gene Panel, Varies",Atypical Hemolytic Uremic Syndrome (aHUS)/Thrombotic Microangiopathy (TMA) /Complement 3 Glomerulopa
34547-0,Complement profile panel,MCnc,Pt,Ser/Plas,Qn,,"Atypical Hemolytic Uremic Syndrome Complement Panel, Serum and Plasma","Atypical Hemolytic Uremic Syndrome Complement Panel, Serum and Plasma"
94695-4,Axonal autoimmune Ab panel,-,Pt,Ser/Plas,-,,"Axonal Neuropathy, Autoimmune/Paraneoplastic Evaluation, Serum","Axonal Neuropathy, Autoimmune/Paraneoplastic Evaluation, Serum"
101633-6,MT-RNR1 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Aminoglycoside-Induced Hearing Loss, Targeted Variant Testing, Droplet Digital PCR, Varies","Aminoglycoside-Induced Hearing Loss, Targeted Variant Testing, Droplet Digital PCR, Varies"
1763-2,Aldosterone,MCnc,Pt,Ser/Plas,Qn,,"Aldosterone, Inferior Vena Cava, Serum","Aldosterone, Inferior Vena Cava, Serum"
44051-1,Adenylate kinase,CCnt,Pt,RBC,Qn,,"Adenylate Kinase Enzyme Activity, Blood","Adenylate Kinase Enzyme Activity, Blood"
5574-9,Aluminum,MCnc,Pt,Ser/Plas,Qn,,"Aluminum, Serum","Aluminum, Serum"
12916-3,Porphobilinogen synthase,CCnc,Pt,Bld,Qn,,"Aminolevulinic Acid Dehydratase, Whole Blood","Aminolevulinic Acid Dehydratase, Whole Blood"
2813-4,Porphobilinogen synthase,CCnc,Pt,RBC,Qn,,"Aminolevulinic Acid Dehydratase, Washed Erythrocytes","Aminolevulinic Acid Dehydratase, Washed Erythrocytes"
39782-8,Delta aminolevulinate/Creatinine,SRto,Pt,Urine,Qn,,"Aminolevulinic Acid, Urine","Aminolevulinic Acid, Urine"
1751-7,Albumin,MCnc,Pt,Ser/Plas,Qn,,"Albumin, Serum","Albumin, Serum"
1755-8,Albumin,MRat,24H,Urine,Qn,,"Albumin, 24 Hour, Urine","Albumin, 24 Hour, Urine"
1747-5,Albumin,MCnc,Pt,Body fld,Qn,,"Albumin, Body Fluid","Albumin, Body Fluid"
9318-7,Albumin/Creatinine,MRto,Pt,Urine,Qn,,"Albumin, Random, Urine","Albumin, Random, Urine"
1746-7,Albumin,MCnc,Pt,CSF,Qn,,"Albumin, Spinal Fluid","Albumin, Spinal Fluid"
13470-0,Aluminum/Creatinine,MRto,Pt,Urine,Qn,,"Aluminum/Creatinine Ratio, Urine","Aluminum/Creatinine Ratio, Urine"
94718-4,Alpha defensins 1+2+3,PrThr,Pt,Synv fld,Ord,IA,"Alpha Defensin, Lateral Flow Assay, Synovial Fluid","Alpha Defensin, Lateral Flow Assay, Synovial Fluid"
94700-2,Liver diseases autoimmune Ab panel,-,Pt,Ser/Plas,-,,"Autoimmune Liver Disease Panel, Serum","Autoimmune Liver Disease Panel, Serum"
94871-1,Aldosterone & sodium panel,-,24H,Urine,Qn,,"Aldosterone with Sodium, 24 Hour, Urine","Aldosterone with Sodium, 24 Hour, Urine"
15284-3,Alnus incana Ab.IgE,ACnc,Pt,Ser,Qn,,"Grey Alder, IgE, Serum","Grey Alder, IgE, Serum"
1765-7,Aldosterone,MRat,24H,Urine,Qn,,"Aldosterone, 24 Hour, Urine","Aldosterone, 24 Hour, Urine"
7445-0,Lactalbumin alpha Ab.IgE,ACnc,Pt,Ser,Qn,,"Alpha-Lactalbumin, IgE, Serum","Alpha-Lactalbumin, IgE, Serum"
73837-7,"Galactose-alpha-1,3-galactose Ab.IgE",ACnc,Pt,Ser,Qn,,"Galactose-Alpha-1,3-Galactose (Alpha-Gal), IgE, Serum","Galactose-Alpha-1,3-Galactose (Alpha-Gal), IgE, Serum"
47303-3,Anaplastic lymphoma kinase Ag,PrThr,Pt,Tiss,Ord,Immune stain,"Anaplastic Lymphoma Kinase for Lung Cancer, Immunohistochemistry","Anaplastic Lymphoma Kinase for Lung Cancer, Immunohistochemistry"
24332-9,Alkaline phosphatase isoenz panel,-,Pt,Ser/Plas,-,,"Alkaline Phosphatase, Total and Isoenzymes, Serum","Alkaline Phosphatase, Total and Isoenzymes, Serum"
94571-7,Branched chain amino acid panel,-,Pt,Bld.dot,Qn,,"Allo-isoleucine, Blood Spot","Allo-isoleucine, Blood Spot"
6019-4,Prunus dulcis Ab.IgE,ACnc,Pt,Ser,Qn,,"Almond, IgE, Serum","Almond, IgE, Serum"
6768-6,Alkaline phosphatase,CCnc,Pt,Ser/Plas,Qn,,"Alkaline Phosphatase, Serum","Alkaline Phosphatase, Serum"
12805-8,Alkaline phosphatase isoenzyme,ACnc,Pt,Ser/Plas,Qn,,"Alkaline Phosphatase Isoenzymes, Serum","Alkaline Phosphatase Isoenzymes, Serum"
101414-1,Lymphocyte TCR alpha beta double negative subsets panel,-,Pt,Bld,-,,"Alpha Beta Double-Negative T Cells for Autoimmune Lymphoproliferative Syndrome, Blood","Alpha Beta Double-Negative T Cells for Autoimmune Lymphoproliferative Syndrome, Blood"
